Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License
Ghostbusters: Afterlife (2021),"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",Sony Pictures Entertainment (SPE),,125278330,66100000,191378330,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",2 hr 4 min,
Spy Kids 2: Island of Lost Dreams (2002),"The Cortez siblings set out for a mysterious island, where they encounter a genetic scientist and a set of rival spy kids.",Dimension Films,"August 7, 2002",85846429,33876929,119723358,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",1 hr 40 min,PG
Black Widow (2021),Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Walt Disney Studios Motion Pictures,,183651655,195979696,379631351,"['Action', 'Adventure', 'Sci-Fi']",2 hr 14 min,
Night at the Museum: Battle of the Smithsonian (2009),"Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",Twentieth Century Fox,"May 20, 2009",177243721,235862449,413106170,"['Adventure', 'Comedy', 'Family', 'Fantasy']",1 hr 45 min,PG
The Amazing Spider-Man (2012),"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",Sony Pictures Entertainment (SPE),"June 28, 2012",262030663,495900000,757930663,"['Action', 'Adventure', 'Sci-Fi']",2 hr 16 min,PG-13
Star Wars: Episode IV - A New Hope (1977),"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",Twentieth Century Fox,"May 25, 1977",460998507,195751992,775398007,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 1 min,PG
Venom (2018),"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Sony Pictures Entertainment (SPE),"October 3, 2018",213515506,642569645,856085151,"['Action', 'Adventure', 'Sci-Fi']",1 hr 52 min,PG-13
Meet the Robinsons (2007),"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.",Walt Disney Studios Motion Pictures,,97822171,71510863,169333034,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 35 min,
Madagascar (2005),"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",DreamWorks Distribution,,193595521,348468325,542063846,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 26 min,
Cruella (2021),A live-action prequel feature film following a young Cruella de Vil.,Walt Disney Studios Motion Pictures,,86103234,147171578,233274812,"['Adventure', 'Comedy', 'Crime', 'Drama']",2 hr 14 min,
